Cancer Type,Sentence
Small Cell Lung Cancer,"If Smoke Status is 0 AND TMB (nonsynonymous) <= 0.28333334624767303 AND Sex is 1 AND Protein_position > 6.5 AND chr_8 is 0 AND Diagnosis Age <= 65.5 AND Start_Position <= 399047.5 AND chr_16 is 1, then the class is Small Cell Lung Cancer."
Non Small Cell Lung Cancer,"If Smoke Status is 0 AND TMB (nonsynonymous) <= 0.28333334624767303 AND Sex is 1 AND Protein_position > 6.5 AND chr_8 is 0 AND Diagnosis Age <= 65.5 AND Start_Position > 399047.5 AND Exon_Number <= 4.5 AND Codons <= 497.0, then the class is Non Small Cell Lung Cancer."
Small Cell Lung Cancer,"If Smoke Status is 0 AND TMB (nonsynonymous) <= 0.28333334624767303 AND Sex is 1 AND Protein_position > 6.5 AND chr_8 is 0 AND Diagnosis Age <= 65.5 AND Start_Position > 399047.5 AND Exon_Number <= 4.5 AND Codons > 497.0, then the class is Small Cell Lung Cancer."
Non Small Cell Lung Cancer,"If Smoke Status is 0 AND TMB (nonsynonymous) <= 0.28333334624767303 AND Sex is 1 AND Protein_position > 6.5 AND chr_8 is 0 AND Diagnosis Age <= 65.5 AND Start_Position > 399047.5 AND Exon_Number <= 4.5 AND Codons > 1274.5, then the class is Non Small Cell Lung Cancer."
Non Small Cell Lung Cancer,"If Smoke Status is 0 AND TMB (nonsynonymous) <= 0.28333334624767303 AND Sex is 1 AND Protein_position > 6.5 AND chr_8 is 0 AND Diagnosis Age <= 65.5 AND Start_Position > 399047.5 AND Exon_Number > 4.5 AND chr_4 is 0 AND stop_gained is 0, then the class is Non Small Cell Lung Cancer."
Non Small Cell Lung Cancer,"If Smoke Status is 0 AND TMB (nonsynonymous) <= 0.2500000074505806 AND Sex is 1 AND Protein_position > 6.5 AND chr_8 is 0 AND Diagnosis Age <= 65.5 AND Start_Position > 399047.5 AND Exon_Number > 4.5 AND chr_4 is 0 AND stop_gained is 1, then the class is Non Small Cell Lung Cancer."
Small Cell Lung Cancer,"If Smoke Status is 0 AND Sex is 1 AND chr_8 is 0 AND Diagnosis Age <= 65.5 AND Start_Position > 399047.5 AND Exon_Number > 4.5 AND chr_4 is 0 AND stop_gained is 1 AND TMB (nonsynonymous) > 0.2500000074505806 AND Protein_position <= 183.5, then the class is Small Cell Lung Cancer."
Non Small Cell Lung Cancer,"If Smoke Status is 0 AND Sex is 1 AND Protein_position > 183.5 AND chr_8 is 0 AND Diagnosis Age <= 65.5 AND Start_Position > 399047.5 AND Exon_Number > 4.5 AND chr_4 is 0 AND stop_gained is 1 AND TMB (nonsynonymous) > 0.2500000074505806, then the class is Non Small Cell Lung Cancer."
Small Cell Lung Cancer,"If Smoke Status is 0 AND TMB (nonsynonymous) <= 0.28333334624767303 AND Sex is 1 AND Protein_position > 6.5 AND chr_8 is 0 AND Diagnosis Age <= 65.5 AND Start_Position > 399047.5 AND Exon_Number > 4.5 AND chr_4 is 1 AND Codons <= 618.0, then the class is Small Cell Lung Cancer."
Non Small Cell Lung Cancer,"If Smoke Status is 0 AND TMB (nonsynonymous) <= 0.28333334624767303 AND Sex is 1 AND Protein_position > 6.5 AND chr_8 is 0 AND Diagnosis Age <= 65.5 AND Start_Position > 399047.5 AND Exon_Number > 4.5 AND chr_4 is 1 AND Codons > 618.0, then the class is Non Small Cell Lung Cancer."
Non Small Cell Lung Cancer,"If Smoke Status is 0 AND TMB (nonsynonymous) <= 0.28333334624767303 AND Sex is 1 AND Protein_position > 6.5 AND chr_8 is 0 AND Diagnosis Age > 65.5 AND chr_10 is 0 AND chr_13 is 0 AND SNP_event <= 1788.5 AND chr_11 is 0 AND Exon_Number <= 52.0 AND Hugo_Symbol <= 256.0, then the class is Non Small Cell Lung Cancer."
Small Cell Lung Cancer,"If Smoke Status is 0 AND TMB (nonsynonymous) <= 0.28333334624767303 AND Sex is 1 AND Protein_position > 6.5 AND chr_8 is 0 AND Diagnosis Age > 65.5 AND chr_10 is 0 AND chr_13 is 0 AND SNP_event <= 1788.5 AND chr_11 is 0 AND Exon_Number <= 52.0 AND Hugo_Symbol > 256.0, then the class is Small Cell Lung Cancer."
Non Small Cell Lung Cancer,"If Smoke Status is 0 AND TMB (nonsynonymous) <= 0.28333334624767303 AND Sex is 1 AND Protein_position > 6.5 AND chr_8 is 0 AND Diagnosis Age > 65.5 AND chr_10 is 0 AND chr_13 is 0 AND SNP_event <= 1788.5 AND chr_11 is 0 AND Exon_Number > 52.0 AND chr_X is 0, then the class is Non Small Cell Lung Cancer."
Small Cell Lung Cancer,"If Smoke Status is 0 AND TMB (nonsynonymous) <= 0.28333334624767303 AND Sex is 1 AND Protein_position > 6.5 AND chr_8 is 0 AND Diagnosis Age > 65.5 AND chr_10 is 0 AND chr_13 is 0 AND SNP_event <= 1788.5 AND chr_11 is 0 AND Exon_Number > 52.0 AND chr_X is 1 AND Hugo_Symbol <= 23.0, then the class is Small Cell Lung Cancer."
Non Small Cell Lung Cancer,"If Smoke Status is 0 AND TMB (nonsynonymous) <= 0.28333334624767303 AND Sex is 1 AND Protein_position > 6.5 AND chr_8 is 0 AND Diagnosis Age > 65.5 AND chr_10 is 0 AND chr_13 is 0 AND SNP_event <= 1788.5 AND chr_11 is 0 AND Exon_Number > 52.0 AND chr_X is 1 AND Hugo_Symbol > 23.0, then the class is Non Small Cell Lung Cancer."
Non Small Cell Lung Cancer,"If Smoke Status is 0 AND TMB (nonsynonymous) <= 0.28333334624767303 AND Sex is 1 AND Protein_position > 6.5 AND chr_8 is 0 AND Diagnosis Age > 65.5 AND chr_10 is 0 AND chr_13 is 0 AND SNP_event <= 1788.5 AND chr_11 is 1 AND Hugo_Symbol <= 181.5, then the class is Non Small Cell Lung Cancer."
Small Cell Lung Cancer,"If Smoke Status is 0 AND TMB (nonsynonymous) <= 0.28333334624767303 AND Sex is 1 AND Protein_position > 6.5 AND chr_8 is 0 AND Diagnosis Age > 65.5 AND chr_10 is 0 AND chr_13 is 0 AND SNP_event <= 1788.5 AND chr_11 is 1 AND Hugo_Symbol > 181.5, then the class is Small Cell Lung Cancer."
Non Small Cell Lung Cancer,"If Smoke Status is 0 AND TMB (nonsynonymous) <= 0.28333334624767303 AND Sex is 1 AND Protein_position > 6.5 AND chr_8 is 0 AND Diagnosis Age > 65.5 AND chr_10 is 0 AND chr_13 is 0 AND SNP_event > 1788.5 AND chr_X is 0 AND stop_gained is 0 AND chr_7 is 0, then the class is Non Small Cell Lung Cancer."
Small Cell Lung Cancer,"If Smoke Status is 0 AND TMB (nonsynonymous) <= 0.21666666865348816 AND Sex is 1 AND Protein_position > 6.5 AND chr_8 is 0 AND chr_10 is 0 AND chr_13 is 0 AND SNP_event > 1788.5 AND chr_X is 0 AND stop_gained is 0 AND chr_7 is 1 AND Diagnosis Age <= 66.5, then the class is Small Cell Lung Cancer."
Non Small Cell Lung Cancer,"If Smoke Status is 0 AND Sex is 1 AND Protein_position > 6.5 AND chr_8 is 0 AND chr_10 is 0 AND chr_13 is 0 AND SNP_event > 1788.5 AND chr_X is 0 AND stop_gained is 0 AND chr_7 is 1 AND Diagnosis Age <= 66.5 AND TMB (nonsynonymous) > 0.21666666865348816, then the class is Non Small Cell Lung Cancer."
Non Small Cell Lung Cancer,"If Smoke Status is 0 AND TMB (nonsynonymous) <= 0.15000000596046448 AND Sex is 1 AND Protein_position > 6.5 AND chr_8 is 0 AND Diagnosis Age > 66.5 AND chr_10 is 0 AND chr_13 is 0 AND SNP_event > 1788.5 AND chr_X is 0 AND stop_gained is 0 AND chr_7 is 1, then the class is Non Small Cell Lung Cancer."
Small Cell Lung Cancer,"If Smoke Status is 0 AND Sex is 1 AND Protein_position > 6.5 AND chr_8 is 0 AND chr_10 is 0 AND chr_13 is 0 AND SNP_event > 1788.5 AND chr_X is 0 AND stop_gained is 0 AND chr_7 is 1 AND TMB (nonsynonymous) > 0.15000000596046448 AND Diagnosis Age <= 68.5, then the class is Small Cell Lung Cancer."
Non Small Cell Lung Cancer,"If Smoke Status is 0 AND Sex is 1 AND Protein_position > 6.5 AND chr_8 is 0 AND Diagnosis Age > 68.5 AND chr_10 is 0 AND chr_13 is 0 AND SNP_event > 1788.5 AND chr_X is 0 AND stop_gained is 0 AND chr_7 is 1 AND TMB (nonsynonymous) > 0.15000000596046448, then the class is Non Small Cell Lung Cancer."
Small Cell Lung Cancer,"If Smoke Status is 0 AND TMB (nonsynonymous) <= 0.28333334624767303 AND Sex is 1 AND Protein_position > 6.5 AND chr_8 is 0 AND Diagnosis Age > 65.5 AND chr_10 is 0 AND chr_13 is 0 AND SNP_event > 1788.5 AND chr_X is 0 AND stop_gained is 1, then the class is Small Cell Lung Cancer."
Small Cell Lung Cancer,"If Smoke Status is 0 AND TMB (nonsynonymous) <= 0.28333334624767303 AND Sex is 1 AND Protein_position > 6.5 AND chr_8 is 0 AND Diagnosis Age > 65.5 AND chr_10 is 0 AND chr_13 is 0 AND SNP_event > 1788.5 AND chr_X is 1, then the class is Small Cell Lung Cancer."
Small Cell Lung Cancer,"If Smoke Status is 0 AND TMB (nonsynonymous) <= 0.28333334624767303 AND Sex is 1 AND Protein_position > 6.5 AND chr_8 is 0 AND Diagnosis Age > 65.5 AND chr_10 is 0 AND chr_13 is 1 AND End_Position <= 48942660.0, then the class is Small Cell Lung Cancer."
Non Small Cell Lung Cancer,"If Smoke Status is 0 AND TMB (nonsynonymous) <= 0.28333334624767303 AND Sex is 1 AND Protein_position > 6.5 AND chr_8 is 0 AND Diagnosis Age > 65.5 AND chr_10 is 0 AND chr_13 is 1 AND End_Position > 48942660.0, then the class is Non Small Cell Lung Cancer."
Small Cell Lung Cancer,"If Smoke Status is 0 AND TMB (nonsynonymous) <= 0.28333334624767303 AND Sex is 1 AND Protein_position > 6.5 AND chr_8 is 0 AND Diagnosis Age > 65.5 AND chr_10 is 1, then the class is Small Cell Lung Cancer."
Non Small Cell Lung Cancer,"If Smoke Status is 0 AND TMB (nonsynonymous) <= 0.28333334624767303 AND Sex is 1 AND Protein_position > 6.5 AND chr_8 is 1 AND Codons <= 3538.5 AND Hugo_Symbol <= 163.5 AND Exon_Number <= 645.0, then the class is Non Small Cell Lung Cancer."
Small Cell Lung Cancer,"If Smoke Status is 0 AND TMB (nonsynonymous) <= 0.28333334624767303 AND Sex is 1 AND Protein_position > 6.5 AND chr_8 is 1 AND Codons <= 3538.5 AND Hugo_Symbol <= 163.5 AND Exon_Number > 645.0, then the class is Small Cell Lung Cancer."
Non Small Cell Lung Cancer,"If Smoke Status is 0 AND TMB (nonsynonymous) <= 0.28333334624767303 AND Sex is 1 AND Protein_position > 6.5 AND chr_8 is 1 AND Codons <= 3538.5 AND Hugo_Symbol > 163.5, then the class is Non Small Cell Lung Cancer."
Small Cell Lung Cancer,"If Smoke Status is 0 AND TMB (nonsynonymous) <= 0.28333334624767303 AND Sex is 1 AND Protein_position > 6.5 AND chr_8 is 1 AND Codons > 3538.5, then the class is Small Cell Lung Cancer."
Non Small Cell Lung Cancer,"If TMB (nonsynonymous) <= 0.11666667088866234 AND Smoke Status is 1 AND chr_13 is 0, then the class is Non Small Cell Lung Cancer."
Non Small Cell Lung Cancer,"If Smoke Status is 1 AND chr_13 is 0 AND TMB (nonsynonymous) > 0.11666667088866234 AND Diagnosis Age <= 48.5, then the class is Non Small Cell Lung Cancer."
Small Cell Lung Cancer,"If Smoke Status is 1 AND chr_13 is 0 AND TMB (nonsynonymous) > 0.11666667088866234 AND Diagnosis Age <= 49.5, then the class is Small Cell Lung Cancer."
Non Small Cell Lung Cancer,"If Smoke Status is 1 AND chr_13 is 0 AND Diagnosis Age <= 51.5 AND TMB (nonsynonymous) <= 0.21666666865348816, then the class is Non Small Cell Lung Cancer."
Non Small Cell Lung Cancer,"If Smoke Status is 1 AND chr_13 is 0 AND TMB (nonsynonymous) > 0.21666666865348816 AND Diagnosis Age <= 51.5 AND Exon_Number <= 269.0, then the class is Non Small Cell Lung Cancer."
Small Cell Lung Cancer,"If Smoke Status is 1 AND chr_13 is 0 AND TMB (nonsynonymous) > 0.21666666865348816 AND Diagnosis Age <= 51.5 AND Exon_Number > 269.0 AND Protein_position <= 550.0, then the class is Small Cell Lung Cancer."
Non Small Cell Lung Cancer,"If Smoke Status is 1 AND chr_13 is 0 AND TMB (nonsynonymous) > 0.21666666865348816 AND Diagnosis Age <= 51.5 AND Exon_Number > 269.0 AND Protein_position > 550.0 AND chr_6 is 0, then the class is Non Small Cell Lung Cancer."
Small Cell Lung Cancer,"If Smoke Status is 1 AND chr_13 is 0 AND TMB (nonsynonymous) > 0.21666666865348816 AND Diagnosis Age <= 51.5 AND Exon_Number > 269.0 AND Protein_position > 550.0 AND chr_6 is 1, then the class is Small Cell Lung Cancer."
Non Small Cell Lung Cancer,"If Smoke Status is 1 AND chr_13 is 0 AND TMB (nonsynonymous) > 0.11666667088866234 AND Diagnosis Age <= 57.5, then the class is Non Small Cell Lung Cancer."
Small Cell Lung Cancer,"If Smoke Status is 1 AND chr_13 is 0 AND Diagnosis Age > 57.5 AND Hugo_Symbol <= 422.5 AND Start_Position <= 76534876.0 AND Codons <= 188.5 AND TMB (nonsynonymous) <= 0.15000000596046448, then the class is Small Cell Lung Cancer."
Non Small Cell Lung Cancer,"If Smoke Status is 1 AND chr_13 is 0 AND TMB (nonsynonymous) > 0.15000000596046448 AND Diagnosis Age > 57.5 AND Hugo_Symbol <= 422.5 AND Start_Position <= 76534876.0 AND Codons <= 188.5, then the class is Non Small Cell Lung Cancer."
Non Small Cell Lung Cancer,"If Smoke Status is 1 AND chr_13 is 0 AND TMB (nonsynonymous) > 0.11666667088866234 AND Hugo_Symbol <= 422.5 AND Start_Position <= 76534876.0 AND Codons > 188.5 AND chr_20 is 0 AND Protein_position <= 3826.5 AND Diagnosis Age <= 62.5 AND chr_16 is 0 AND chr_4 is 0, then the class is Non Small Cell Lung Cancer."
Non Small Cell Lung Cancer,"If Smoke Status is 1 AND chr_13 is 0 AND TMB (nonsynonymous) > 0.11666667088866234 AND Hugo_Symbol <= 422.5 AND Start_Position <= 55957174.0 AND Codons > 188.5 AND chr_20 is 0 AND Protein_position <= 3826.5 AND Diagnosis Age <= 62.5 AND chr_16 is 0 AND chr_4 is 1, then the class is Non Small Cell Lung Cancer."
Non Small Cell Lung Cancer,"If Smoke Status is 1 AND chr_13 is 0 AND TMB (nonsynonymous) > 0.11666667088866234 AND Hugo_Symbol <= 422.5 AND chr_20 is 0 AND Protein_position <= 3826.5 AND Diagnosis Age <= 62.5 AND chr_16 is 0 AND chr_4 is 1 AND Start_Position > 55957174.0 AND Codons <= 1018.0, then the class is Non Small Cell Lung Cancer."
Small Cell Lung Cancer,"If Smoke Status is 1 AND chr_13 is 0 AND TMB (nonsynonymous) > 0.11666667088866234 AND Hugo_Symbol <= 422.5 AND Codons > 1018.0 AND chr_20 is 0 AND Protein_position <= 3826.5 AND Diagnosis Age <= 62.5 AND chr_16 is 0 AND chr_4 is 1 AND Start_Position > 55957174.0, then the class is Small Cell Lung Cancer."
Small Cell Lung Cancer,"If Smoke Status is 1 AND chr_13 is 0 AND TMB (nonsynonymous) > 0.11666667088866234 AND Hugo_Symbol <= 422.5 AND Start_Position <= 76534876.0 AND Codons > 188.5 AND chr_20 is 0 AND Protein_position <= 3826.5 AND Diagnosis Age <= 62.5 AND chr_16 is 1, then the class is Small Cell Lung Cancer."
Non Small Cell Lung Cancer,"If Smoke Status is 1 AND chr_13 is 0 AND TMB (nonsynonymous) > 0.11666667088866234 AND Diagnosis Age > 62.5 AND Hugo_Symbol <= 422.5 AND Start_Position <= 76534876.0 AND Codons > 188.5 AND chr_20 is 0 AND Protein_position <= 3826.5, then the class is Non Small Cell Lung Cancer."
Non Small Cell Lung Cancer,"If Smoke Status is 1 AND chr_13 is 0 AND TMB (nonsynonymous) > 0.11666667088866234 AND Diagnosis Age > 57.5 AND Hugo_Symbol <= 422.5 AND Start_Position <= 76534876.0 AND Codons > 188.5 AND chr_20 is 0 AND Protein_position > 3826.5 AND stop_gained is 0, then the class is Non Small Cell Lung Cancer."
Small Cell Lung Cancer,"If Smoke Status is 1 AND chr_13 is 0 AND TMB (nonsynonymous) > 0.11666667088866234 AND Diagnosis Age > 57.5 AND Hugo_Symbol <= 422.5 AND Start_Position <= 76534876.0 AND Codons > 188.5 AND chr_20 is 0 AND Protein_position > 3826.5 AND stop_gained is 1, then the class is Small Cell Lung Cancer."
Non Small Cell Lung Cancer,"If Smoke Status is 1 AND chr_13 is 0 AND TMB (nonsynonymous) > 0.11666667088866234 AND Diagnosis Age > 57.5 AND Hugo_Symbol <= 422.5 AND Start_Position <= 76534876.0 AND Codons > 188.5 AND chr_20 is 1 AND Protein_position <= 662.0, then the class is Non Small Cell Lung Cancer."
Small Cell Lung Cancer,"If Smoke Status is 1 AND chr_13 is 0 AND TMB (nonsynonymous) > 0.11666667088866234 AND Diagnosis Age > 57.5 AND Hugo_Symbol <= 422.5 AND Start_Position <= 76534876.0 AND Codons > 188.5 AND chr_20 is 1 AND Protein_position > 662.0, then the class is Small Cell Lung Cancer."
Non Small Cell Lung Cancer,"If Smoke Status is 1 AND chr_13 is 0 AND TMB (nonsynonymous) > 0.11666667088866234 AND Diagnosis Age > 57.5 AND Hugo_Symbol <= 311.0 AND Start_Position > 76534876.0 AND Protein_position <= 103.5, then the class is Non Small Cell Lung Cancer."
Small Cell Lung Cancer,"If Smoke Status is 1 AND chr_13 is 0 AND TMB (nonsynonymous) > 0.11666667088866234 AND Diagnosis Age > 57.5 AND Start_Position > 76534876.0 AND Protein_position <= 103.5 AND Hugo_Symbol > 311.0 AND chr_8 is 0, then the class is Small Cell Lung Cancer."
Non Small Cell Lung Cancer,"If Smoke Status is 1 AND chr_13 is 0 AND TMB (nonsynonymous) > 0.11666667088866234 AND Diagnosis Age > 57.5 AND Start_Position > 76534876.0 AND Protein_position <= 103.5 AND Hugo_Symbol > 311.0 AND chr_8 is 1, then the class is Non Small Cell Lung Cancer."
Small Cell Lung Cancer,"If Smoke Status is 1 AND chr_13 is 0 AND TMB (nonsynonymous) > 0.11666667088866234 AND Diagnosis Age > 57.5 AND Hugo_Symbol <= 422.5 AND Start_Position > 76534876.0 AND Protein_position > 103.5, then the class is Small Cell Lung Cancer."
Small Cell Lung Cancer,"If Smoke Status is 1 AND chr_13 is 0 AND TMB (nonsynonymous) > 0.11666667088866234 AND Diagnosis Age > 57.5 AND Hugo_Symbol <= 422.5 AND Start_Position > 76534876.0 AND Protein_position > 127.5 AND End_Position <= 76876988.0, then the class is Small Cell Lung Cancer."
Non Small Cell Lung Cancer,"If Smoke Status is 1 AND chr_13 is 0 AND TMB (nonsynonymous) > 0.11666667088866234 AND Diagnosis Age > 57.5 AND Hugo_Symbol <= 5.5 AND Start_Position > 76534876.0 AND Protein_position > 127.5 AND End_Position > 76876988.0 AND chr_16 is 0 AND inframe_deletion is 0 AND Exon_Number <= 473.5, then the class is Non Small Cell Lung Cancer."
Small Cell Lung Cancer,"If Smoke Status is 1 AND chr_13 is 0 AND TMB (nonsynonymous) > 0.11666667088866234 AND Diagnosis Age > 57.5 AND Hugo_Symbol <= 5.5 AND Start_Position > 76534876.0 AND Protein_position > 127.5 AND End_Position > 76876988.0 AND chr_16 is 0 AND inframe_deletion is 0 AND Exon_Number > 473.5, then the class is Small Cell Lung Cancer."
Non Small Cell Lung Cancer,"If Smoke Status is 1 AND chr_13 is 0 AND TMB (nonsynonymous) > 0.11666667088866234 AND Diagnosis Age > 57.5 AND Protein_position > 127.5 AND End_Position > 76876988.0 AND chr_16 is 0 AND inframe_deletion is 0 AND Hugo_Symbol > 5.5 AND chr_12 is 0 AND chr_6 is 0 AND Start_Position <= 186352000.0 AND stop_gained is 0, then the class is Non Small Cell Lung Cancer."
Small Cell Lung Cancer,"If Smoke Status is 1 AND chr_13 is 0 AND TMB (nonsynonymous) > 0.11666667088866234 AND Diagnosis Age > 57.5 AND Protein_position > 127.5 AND End_Position > 76876988.0 AND chr_16 is 0 AND inframe_deletion is 0 AND Hugo_Symbol > 5.5 AND chr_12 is 0 AND chr_6 is 0 AND Start_Position <= 186352000.0 AND stop_gained is 1 AND Exon_Number <= 362.5, then the class is Small Cell Lung Cancer."
Non Small Cell Lung Cancer,"If Smoke Status is 1 AND chr_13 is 0 AND TMB (nonsynonymous) > 0.11666667088866234 AND Diagnosis Age > 57.5 AND Protein_position > 127.5 AND End_Position > 76876988.0 AND chr_16 is 0 AND inframe_deletion is 0 AND Hugo_Symbol > 5.5 AND chr_12 is 0 AND chr_6 is 0 AND Start_Position <= 186352000.0 AND stop_gained is 1 AND Exon_Number > 362.5, then the class is Non Small Cell Lung Cancer."
Small Cell Lung Cancer,"If Smoke Status is 1 AND chr_13 is 0 AND TMB (nonsynonymous) > 0.11666667088866234 AND Diagnosis Age > 57.5 AND Start_Position > 186352000.0 AND Protein_position > 127.5 AND chr_16 is 0 AND inframe_deletion is 0 AND Hugo_Symbol > 5.5 AND chr_12 is 0 AND chr_6 is 0 AND End_Position <= 187545984.0, then the class is Small Cell Lung Cancer."
Non Small Cell Lung Cancer,"If Smoke Status is 1 AND chr_13 is 0 AND TMB (nonsynonymous) > 0.11666667088866234 AND Diagnosis Age > 57.5 AND Start_Position > 186352000.0 AND Protein_position > 127.5 AND End_Position > 187545984.0 AND chr_16 is 0 AND inframe_deletion is 0 AND chr_12 is 0 AND chr_6 is 0 AND Hugo_Symbol <= 340.0, then the class is Non Small Cell Lung Cancer."
Small Cell Lung Cancer,"If Smoke Status is 1 AND chr_13 is 0 AND TMB (nonsynonymous) > 0.11666667088866234 AND Diagnosis Age > 57.5 AND Start_Position > 186352000.0 AND End_Position > 187545984.0 AND chr_16 is 0 AND inframe_deletion is 0 AND Hugo_Symbol > 340.0 AND chr_12 is 0 AND chr_6 is 0 AND Protein_position <= 435.0, then the class is Small Cell Lung Cancer."
Non Small Cell Lung Cancer,"If Smoke Status is 1 AND chr_13 is 0 AND TMB (nonsynonymous) > 0.11666667088866234 AND Diagnosis Age > 57.5 AND Start_Position > 186352000.0 AND Protein_position > 435.0 AND End_Position > 187545984.0 AND chr_16 is 0 AND inframe_deletion is 0 AND Hugo_Symbol > 340.0 AND chr_12 is 0 AND chr_6 is 0, then the class is Non Small Cell Lung Cancer."
Non Small Cell Lung Cancer,"If Smoke Status is 1 AND chr_13 is 0 AND TMB (nonsynonymous) > 0.11666667088866234 AND Diagnosis Age > 57.5 AND Start_Position > 76534876.0 AND Protein_position > 127.5 AND End_Position > 76876988.0 AND chr_16 is 0 AND inframe_deletion is 0 AND Hugo_Symbol > 5.5 AND chr_12 is 0 AND chr_6 is 1 AND SNP_event <= 1270.0, then the class is Non Small Cell Lung Cancer."
Small Cell Lung Cancer,"If Smoke Status is 1 AND chr_13 is 0 AND TMB (nonsynonymous) > 0.11666667088866234 AND Diagnosis Age > 57.5 AND Start_Position > 76534876.0 AND Protein_position > 127.5 AND End_Position > 76876988.0 AND chr_16 is 0 AND inframe_deletion is 0 AND Hugo_Symbol > 5.5 AND chr_12 is 0 AND chr_6 is 1 AND SNP_event > 1270.0, then the class is Small Cell Lung Cancer."
